"CPU_time";"path_cost";"tree_size";
"0.0002";"inf";"48";
"0.0339";"inf";"15647";
"0.0602";"inf";"15647";
"0.0825";"inf";"15647";
"0.1149";"inf";"18439";
"0.1469";"inf";"18439";
"0.1817";"inf";"18559";
"0.2157";"inf";"18951";
"0.2494";"inf";"19703";
"0.2839";"inf";"19703";
"0.3146";"inf";"19703";
"0.3485";"inf";"19703";
"0.3824";"inf";"19703";
"0.4176";"inf";"20404";
"0.4496";"inf";"20404";
"0.4862";"inf";"20404";
"0.5209";"inf";"20404";
"0.5571";"inf";"20404";
"0.5932";"inf";"20805";
"0.6278";"inf";"20805";
"0.6760";"inf";"20805";
"0.7237";"inf";"22511";
"0.7659";"inf";"27921";
"0.8172";"inf";"28019";
"0.8661";"inf";"28019";
"0.9248";"inf";"28180";
"0.9714";"inf";"28180";
"1.0188";"inf";"28764";
"1.0648";"inf";"28764";
"1.1073";"inf";"28764";
"1.1594";"inf";"28764";
"1.2013";"inf";"29347";
"1.2415";"inf";"29347";
"1.2895";"inf";"29347";
"1.3320";"inf";"29347";
"1.3872";"inf";"32000";
"1.4289";"inf";"32953";
"1.4822";"inf";"32953";
"1.5349";"inf";"32953";
"1.5814";"inf";"32953";
"1.6365";"inf";"32953";
"1.6767";"inf";"33155";
"1.7231";"inf";"33155";
"1.7734";"inf";"33155";
"1.8250";"inf";"33155";
"1.8729";"inf";"33155";
"1.9362";"inf";"33155";
"1.9918";"inf";"33846";
"2.0508";"inf";"37864";
"2.0815";"inf";"37864";
"2.1322";"inf";"37864";
"2.1865";"inf";"37864";
"2.2289";"inf";"37864";
"2.2821";"inf";"37864";
"2.3318";"inf";"37864";
"2.3869";"inf";"37864";
"2.4469";"inf";"37864";
"2.5059";"inf";"37864";
"2.5550";"inf";"37864";
"2.6121";"inf";"37864";
"2.6700";"inf";"37864";
"2.7303";"inf";"37864";
"2.7887";"inf";"37864";
"2.8465";"inf";"37864";
"2.9097";"inf";"37864";
"2.9721";"inf";"39299";
"3.0308";"inf";"39299";
"3.0910";"inf";"39299";
"3.1486";"inf";"39299";
"3.2020";"inf";"39299";
"3.2612";"inf";"39299";
"3.3186";"inf";"39423";
"3.3775";"inf";"39423";
"3.4359";"inf";"39423";
"3.4947";"inf";"39423";
"3.5594";"inf";"39628";
"3.6215";"inf";"41032";
"3.6798";"inf";"44533";
"3.7313";"inf";"44533";
"3.7891";"inf";"44533";
"3.8497";"inf";"44533";
"3.9164";"inf";"44533";
"3.9806";"inf";"44533";
"4.0218";"inf";"54925";
"4.0609";"inf";"56595";
"4.1031";"inf";"56595";
"4.1537";"inf";"56595";
"4.2073";"inf";"56595";
"4.2570";"inf";"56595";
"4.3086";"inf";"56595";
"4.3660";"inf";"56595";
"4.4166";"inf";"56595";
"4.4796";"inf";"56595";
"4.5206";"inf";"56595";
"4.5710";"inf";"56595";
"4.6257";"inf";"56595";
"4.6731";"inf";"56595";
"4.7279";"inf";"56595";
"4.7913";"inf";"56595";
"4.8514";"inf";"56595";
"4.9121";"inf";"56595";
"4.9753";"inf";"56595";
"5.0251";"inf";"56595";
"5.0824";"inf";"56595";
"5.1375";"inf";"56595";
"5.1965";"inf";"56595";
"5.2652";"inf";"56595";
"5.3372";"inf";"56595";
"5.4057";"inf";"56595";
"5.4748";"inf";"56595";
"5.5481";"inf";"56595";
"5.6138";"inf";"56595";
"5.6791";"inf";"56595";
"5.7491";"inf";"56595";
"5.8126";"inf";"56595";
"5.8759";"inf";"56595";
"5.9479";"inf";"56595";
"6.0119";"inf";"56595";
"6.0859";"inf";"56595";
"6.1619";"inf";"56595";
"6.2254";"inf";"56595";
"6.2890";"inf";"56595";
"6.3554";"inf";"56595";
"6.4359";"inf";"56595";
"6.5039";"inf";"56595";
"6.5611";"inf";"56595";
"6.6302";"inf";"56856";
"6.6827";"inf";"58899";
"6.7429";"inf";"65561";
"6.7982";"inf";"73794";
"6.8632";"inf";"73839";
"6.9246";"inf";"75829";
"6.9916";"inf";"75829";
"7.0527";"inf";"75829";
"7.1169";"inf";"75829";
"7.1888";"inf";"75829";
"7.2675";"inf";"76387";
"7.3425";"inf";"76387";
"7.4155";"inf";"76387";
"7.4844";"inf";"76387";
"7.5446";"inf";"76387";
"7.6177";"inf";"77377";
"7.6855";"inf";"81642";
"7.7526";"inf";"81642";
"7.8221";"inf";"81642";
"7.8894";"inf";"81642";
"7.9567";"inf";"81642";
"8.0266";"inf";"81642";
"8.0931";"inf";"81642";
"8.1644";"inf";"81642";
"8.2361";"inf";"81642";
"8.3044";"inf";"81642";
"8.3709";"inf";"81642";
"8.4427";"inf";"81642";
"8.5153";"inf";"81642";
"8.5822";"inf";"81642";
"8.6477";"inf";"81642";
"8.7115";"inf";"81642";
"8.7746";"inf";"81642";
"8.8196";"inf";"81642";
"8.8761";"inf";"81642";
"8.9351";"inf";"86111";
"8.9846";"inf";"86111";
"9.0377";"inf";"86111";
"9.0861";"inf";"86111";
"9.1416";"inf";"86111";
"9.2011";"inf";"86111";
"9.2594";"inf";"86111";
"9.3071";"inf";"86111";
"9.3594";"inf";"86563";
"9.4013";"inf";"92273";
"9.4567";"inf";"92273";
"9.5050";"inf";"92273";
"9.5611";"inf";"92273";
"9.6177";"inf";"92273";
"9.6727";"inf";"92273";
"9.7280";"inf";"92856";
"9.7750";"inf";"102594";
"9.8255";"inf";"102594";
"9.8829";"inf";"102594";
"9.9375";"inf";"102594";
"9.9957";"inf";"102594";
"10.0539";"inf";"102594";
"10.1098";"inf";"102594";
"10.1696";"inf";"102594";
"10.2309";"inf";"102594";
"10.2918";"inf";"102594";
"10.3339";"inf";"102594";
"10.3866";"inf";"102594";
"10.4416";"inf";"102594";
"10.5032";"inf";"102594";
"10.5616";"inf";"102594";
"10.6194";"inf";"102594";
"10.6802";"inf";"102594";
"10.7361";"inf";"102594";
"10.7832";"inf";"102594";
"10.8408";"inf";"102594";
"10.9007";"inf";"102594";
"10.9594";"inf";"102594";
"11.0212";"inf";"102594";
"11.0736";"inf";"102594";
"11.1286";"inf";"105962";
"11.1835";"inf";"128140";
"11.2433";"inf";"154757";
"11.3328";"inf";"197614";
"11.4095";"inf";"255708";
"11.4872";"inf";"311956";
"11.4925";"inf";"315358";
"11.4930";"inf";"315359";
"11.5239";"inf";"323486";
"11.5672";"inf";"327139";
"11.6076";"inf";"327550";
"11.6505";"inf";"327550";
"11.7124";"inf";"327550";
"11.7654";"inf";"327550";
"11.8161";"inf";"327550";
"11.8615";"inf";"327554";
"11.9083";"inf";"327554";
"11.9511";"inf";"328864";
"11.9901";"inf";"328864";
"12.0467";"inf";"328864";
"12.0991";"inf";"328864";
"12.1491";"inf";"329141";
"12.1855";"inf";"329141";
"12.2380";"inf";"329141";
"12.2755";"inf";"329141";
"12.3296";"inf";"329141";
"12.3692";"inf";"329141";
"12.4340";"inf";"329141";
"12.4968";"inf";"329141";
"12.5544";"inf";"329141";
"12.6039";"inf";"329141";
"12.6445";"inf";"329141";
"12.6927";"inf";"329141";
"12.7273";"inf";"329141";
"12.7826";"inf";"329141";
"12.8232";"inf";"329141";
"12.8686";"inf";"329141";
"12.9188";"inf";"329141";
"12.9738";"inf";"329141";
"13.0147";"inf";"329141";
"13.0604";"inf";"329141";
"13.0983";"inf";"329141";
"13.1436";"inf";"329141";
"13.1902";"inf";"329141";
"13.2259";"inf";"329141";
"13.2764";"inf";"329141";
"13.3307";"inf";"329141";
"13.3865";"inf";"335047";
"13.4327";"inf";"346752";
"13.4864";"inf";"348843";
"13.5377";"inf";"348843";
"13.5949";"inf";"348843";
"13.6480";"inf";"348843";
"13.7052";"inf";"348843";
"13.7602";"inf";"348843";
"13.8131";"inf";"348843";
"13.8714";"inf";"349910";
"13.9302";"inf";"350137";
"13.9865";"inf";"350137";
"14.0396";"inf";"350137";
