"CPU_time";"path_cost";"tree_size";
"0.0000";"inf";"0";
"1.0955";"156807.0309";"61785";
"8.5041";"156064.1036";"63591";
"8.8146";"156064.1036";"64561";
"67.2725";"156000.6724";"65269";
"67.3791";"156000.6724";"66064";
"67.6890";"156000.6724";"66724";
"80.0771";"156000.6724";"67380";
"121.9234";"156000.6724";"68695";
"122.5389";"156000.6724";"70039";
"122.7905";"156000.6724";"71856";
"123.0682";"156000.6724";"72660";
"126.8371";"156000.6724";"76963";
"127.4431";"156000.6724";"78351";
"127.6679";"155896.0074";"79112";
"129.0375";"155894.6832";"80564";
"129.5913";"155827.7054";"82014";
