"CPU_time";"path_cost";"tree_size";
"4.4027";"808416.0134";"3240515";
"4.8006";"800942.2004";"3323726";
"4.9629";"743831.3109";"3341525";
"5.1084";"723274.8074";"3348319";
"5.2648";"694911.9153";"3373881";
"5.9163";"669172.2672";"3589174";
"6.0872";"644436.3292";"3615370";
"6.3657";"629742.5563";"3738492";
"6.7554";"583108.2814";"3852997";
"6.8912";"560177.5541";"3864058";
"8.0507";"537492.9424";"4130706";
"9.2215";"530520.5905";"4497455";
"9.6645";"522685.7450";"4593390";
"9.8958";"466418.8411";"4662957";
"10.1796";"457425.0123";"4787681";
"14.0935";"447443.9595";"6375405";
"14.5302";"441760.5019";"6650858";
"16.3010";"426825.3283";"7709464";
"17.0741";"417128.7640";"8102978";
"17.4170";"414184.2350";"8181458";
"17.6900";"414182.8483";"8378068";
"18.6545";"409410.8621";"8850581";
"20.9720";"394009.5607";"9865611";
"21.2032";"385373.0434";"10038194";
"22.1224";"383400.9459";"10629444";
"22.7748";"383362.6921";"10847883";
"29.6833";"377845.2144";"13490203";
"30.8245";"365332.3523";"13757087";
"37.2336";"362214.7472";"14918707";
"38.1866";"356193.1299";"15036391";
"41.2679";"340514.8542";"15946392";
"43.9774";"338034.2229";"16585890";
"51.9325";"337092.2002";"18949012";
"56.2630";"318256.5730";"19916951";
"56.6079";"318232.6734";"20062871";
"58.0266";"316622.7716";"20548277";
"58.2390";"301268.6277";"20549996";
"58.9388";"300433.9156";"20738362";
"59.5209";"300397.5780";"20835058";
"60.5846";"299164.4858";"21002502";
"60.9411";"297739.4848";"21132460";
"61.1582";"293350.5955";"21170829";
"62.0503";"273762.3699";"21511396";
"62.2495";"269583.2026";"21560652";
"62.7540";"263267.4807";"21771007";
"63.8175";"262095.0253";"22379837";
"64.0970";"251658.9868";"22439771";
"64.1898";"249215.7018";"22453739";
"64.2506";"245163.4444";"22511128";
"64.3309";"245123.4071";"22565014";
