"CPU_time";"path_cost";"tree_size";
"0.4443";"501342.0627";"49768";
"0.8749";"396829.7897";"58000";
"1.2332";"373306.6490";"65782";
"1.8689";"341474.7463";"74702";
"2.4007";"341474.7463";"83572";
"2.8421";"335273.9872";"92747";
"4.0290";"335038.7941";"101607";
"5.7227";"334319.0844";"110259";
"7.7680";"330340.7745";"119383";
"8.9327";"327292.4052";"128867";
"10.1077";"327061.2179";"137795";
"11.5351";"327061.2179";"147043";
"13.2268";"327061.2179";"155655";
"14.2378";"320530.2273";"164617";
"15.6569";"320530.2273";"173313";
"17.0533";"319367.2451";"182361";
"19.7503";"319367.2451";"191792";
"21.9343";"319367.2451";"201428";
"23.2870";"319367.2451";"210386";
"24.9712";"319367.2451";"219655";
"28.4133";"313305.1524";"228600";
"31.8850";"297981.2642";"237125";
"33.7975";"297942.4314";"246486";
"36.2673";"297923.2923";"255662";
"41.7890";"297923.2923";"264550";
"44.1536";"297923.2923";"274053";
"47.1811";"297923.2923";"282959";
"48.5305";"297923.2923";"292136";
"50.9331";"297923.2923";"300732";
"59.0918";"297923.2923";"310171";
"65.1995";"297923.2923";"319087";
"67.4014";"297923.2923";"327437";
"69.9444";"297923.2923";"336545";
"72.2848";"297923.2923";"345295";
"74.5255";"297923.2923";"354600";
"77.4092";"293872.9622";"363361";
"79.0512";"293872.9622";"372128";
"83.1021";"288479.2956";"381300";
"85.9706";"288479.2956";"390037";
"91.1086";"288479.2956";"398690";
"93.4377";"288479.2956";"407207";
"95.9543";"288479.2956";"415671";
"102.0092";"288479.2956";"424880";
"107.6972";"287677.4201";"434064";
"111.3063";"287677.4201";"442888";
"122.5507";"276075.3450";"451675";
"126.0614";"275728.5479";"460521";
"132.8510";"274948.6259";"469285";
"138.8340";"274948.6259";"477946";
"141.6859";"274948.6259";"486991";
"146.9409";"274539.5286";"495598";
"152.0937";"274512.8613";"504477";
"155.9093";"270894.0510";"513088";
"157.6401";"270466.3971";"521893";
"162.3412";"270269.3189";"530785";
"165.8515";"270133.5248";"539345";
"169.9002";"269978.7583";"547752";
"174.8655";"269838.7831";"556408";
"177.1439";"269805.4223";"565286";
"179.0301";"269610.5499";"573960";
"182.7508";"268619.4895";"583078";
"197.8080";"266682.6280";"592428";
"201.5120";"266682.6280";"601122";
"207.5457";"266682.6280";"609918";
"214.7102";"266682.6280";"618406";
"221.6167";"266682.6280";"627534";
"226.5440";"266682.6280";"636424";
"232.1332";"266682.6280";"644880";
"239.6356";"266682.6280";"653591";
"242.0131";"266682.6280";"662311";
"244.3828";"266682.6280";"670632";
"248.6093";"266682.6280";"679437";
"251.4816";"266682.6280";"687567";
"254.5982";"266682.6280";"696442";
"259.4948";"265720.0485";"704738";
"283.6673";"265720.0485";"714092";
"297.0336";"265715.5624";"723769";
"306.7094";"265695.8800";"732547";
"311.5756";"265500.4832";"741550";
"315.8755";"265495.0291";"750131";
"318.7974";"264566.8846";"759976";
"323.1557";"264566.8846";"768680";
"325.7572";"264566.8846";"777591";
